name,adname,type,rating,cost
绝美嘉海鲜馄饨(杭州总店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,23
崔酱,拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,26
郑阿公顺德鸡煲饭双皮奶(东站店),上城区,餐饮服务;中餐厅;中餐厅,4.7,28
郑阿公顺德鸡煲饭双皮奶(八方城店),余杭区,餐饮服务;中餐厅;中餐厅,4.7,28
竹仙制麵·GINZA鶏白汤拉麺(兴耀·星澳商务中心店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,32
肥悦冒菜,上城区,餐饮服务;中餐厅;中餐厅,4.7,36
郑阿公顺德鸡煲饭双皮奶(滨江宝龙店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,38
三冬麻辣串,余杭区,餐饮服务;中餐厅;中餐厅,4.7,39
满丼肉剧场,拱墅区,餐饮服务;外国餐厅;日本料理,4.7,39
单羊世家·单县羊肉汤(景昙店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,40
咸鱼仔饮食店,滨江区,餐饮服务;中餐厅;中餐厅,4.7,40
如意Teppanyaki,上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,40
重庆小天鹅麻辣烫(凤起路店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,41
复兴面王(河东路店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,41
后生仔.潮汕小馆(滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,42
111white三白咖啡·西餐(银湖美和院店),富阳区,餐饮服务;餐饮相关场所;餐饮相关,4.7,42
No Coffee無咖,上城区,餐饮服务;咖啡厅;咖啡厅,4.7,43
问疆新疆手抓饭(太平门直街店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,45
巷儿里餐厅·杭帮菜(信义坊步行街店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,45
巷子里湘菜馆(八年湘守),拱墅区,餐饮服务;中餐厅;湖南菜(湘菜),4.7,45
HELLO COFFEE·咖啡,上城区,餐饮服务;咖啡厅;咖啡厅,4.7,45
山野饭堂.融合家常菜(滨江店),滨江区,餐饮服务;中餐厅;四川菜(川菜),4.7,47
颖姐鲜烫牛肉汤(旭辉春江悦茗店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,47
盐蘸牛肉,上城区,餐饮服务;中餐厅;中餐厅,4.7,49
芳芳跷脚牛肉 (高沙店),钱塘区,餐饮服务;中餐厅;中餐厅,4.7,50
