name,adname,type,rating,cost
NDORA恩哚啦西餐厅,萧山区,餐饮服务;外国餐厅;外国餐厅,4.7,84
陈先进鱼馆(凤起店),上城区,餐饮服务;中餐厅;中餐厅,4.7,86
白乐天毛肚火锅店,萧山区,餐饮服务;中餐厅;火锅店,4.7,86
点都德(杭州中心店),拱墅区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86
点都德(滨江银泰店),滨江区,餐饮服务;快餐厅;快餐厅,4.7,86
点都德(城西银泰城店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,86
点都德(奥体印象城店),萧山区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86
四灶儿·地道杭帮菜(望江店),上城区,餐饮服务;中餐厅;中餐厅,4.7,87
山城兄弟·重庆江湖菜·黑金店,拱墅区,购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,4.7,87
虾儿清清小龙虾烧烤(星澜里店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,87
赵姑娘海鲜大排档·梭子蟹·烧烤(杭州总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,87
长风源·寻衢味(20年老店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.7,88
新周记·巷子里的江南味(金龙财富店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,88
自贡盐帮菜,拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,88
点都德(杭州湖滨in77店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,88
大鱼徽州·皖南家宴(东站德信店),上城区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88
卢家·皖掌柜(杭州首店),拱墅区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88
大鱼徽州·皖南家宴(星光总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,88
大塘集美蛙鱼头·冷锅鱼(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89
刘老根·东北烧烤酒场(子夜广场店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89
戒指龙虾(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,89
潮来福潮汕牛肉店(元华旺座中心店),上城区,餐饮服务;中餐厅;潮州菜,4.7,90
张功馆·地道桐庐菜(景芳店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,90
风炉故事·遂昌山野土菜(凯旋路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90
