name,adname,type,rating,cost,性价比,cluster,餐厅类型
蛮涮自助小火锅·糖水铺子集合店(滨江银泰店),滨江区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
海底捞火锅(杭州西湖夜宵主题店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
不万能先生·市井牛肉火锅(武林总店),拱墅区,餐饮服务;中餐厅;火锅店,4.6,78,1.0527645952801123,1,大众品质型
宽马记·热鲜牛肉海鲜火锅(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,80,1.069531091286534,1,大众品质型
小牛滚滚贵州黄牛肉火锅(通策广场店),滨江区,餐饮服务;中餐厅;火锅店,4.7,77,1.0787959872845703,1,大众品质型
海底捞火锅(杭州滨江九宜城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
七欣天(杭州亚奥万象天地店),萧山区,餐饮服务;中餐厅;中餐厅,4.6,129,0.9450369682682899,1,大众品质型
小牛家村·贵州黄牛肉火锅(梦想小镇店),余杭区,餐饮服务;中餐厅;火锅店,4.7,82,1.063627412065356,1,大众品质型
芸山季·云南山珍菌火锅(杭州湖滨in77店),上城区,餐饮服务;中餐厅;火锅店,4.6,105,0.9863964999152313,1,大众品质型
海底捞火锅(西溪银泰店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.9800261198469788,1,大众品质型
郭淑芬鲜切牛肉自助老火锅(延安路店),拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.6,75,1.0621757652933361,1,大众品质型
蛮涮自助小火锅·糖水铺子集合店(金沙印象城店),钱塘区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
宽马记大排档·热鲜牛肉海鲜火锅(临安店),临安区,餐饮服务;中餐厅;火锅店,4.7,90,1.0419300342229454,1,大众品质型
七欣天(杭州西联广场店),拱墅区,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;火锅店,4.6,129,0.9450369682682899,1,大众品质型
泉市鲜活牛肉店(太合B区店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,103,1.0119733894209697,1,大众品质型
蛮涮自助小火锅·糖水铺子集合店(杭州滨江天街店),滨江区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
中国凉都黄牛肉馆,余杭区,餐饮服务;中餐厅;中餐厅,4.8,93,1.0565019947047627,1,大众品质型
海底捞火锅(杭州滨江中南乐游城店),滨江区,餐饮服务;中餐厅;火锅店,4.8,120,1.0008777394181911,1,大众品质型
313羊庄(萧山总店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,109,0.9998978049571461,1,大众品质型
蘭记牛府贵州黄牛肉火锅(中山中路店),上城区,餐饮服务;中餐厅;火锅店,4.6,80,1.046775110620863,1,大众品质型
颖姐鲜烫牛肉汤(旭辉春江悦茗店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,47,1.2140935039944452,1,大众品质型
蛮涮自助小火锅·糖水铺子集合店(滨江宝龙店),滨江区,餐饮服务;中餐厅;火锅店,4.5,57,1.108253456165225,1,大众品质型
