排名,name,adname,type,rating,cost,性价比
1321,海底捞火锅(杭州西湖夜宵主题店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1322,海底捞火锅(杭州滨江九宜城店),滨江区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1323,海底捞火锅(西溪银泰店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1324,海底捞火锅(杭州未来科技城万达店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1325,海底捞火锅(绍兴路店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1326,海底捞火锅(杭州工联cc店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1327,海底捞火锅(杭州中大银泰城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1328,海底捞火锅之江里店,西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1329,海底捞火锅(杭州金沙印象城店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1330,海底捞火锅(杭州西田城店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1331,海底捞火锅(杭州西溪印象城店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1332,海底捞火锅(杭州城西银泰城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1333,海底捞火锅(杭州萧山众安广场店),萧山区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1334,海底捞火锅(杭州大悦城店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1335,海底捞火锅(大江东宝龙广场夜宵主题店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1336,海底捞火锅(杭州临平银泰城店),临平区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1337,海底捞火锅(杭州东城购物中心店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1338,海底捞火锅(杭州西子丁兰广场店),上城区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1339,海底捞火锅(杭州临平欢乐城店),临平区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1340,海底捞大排档火锅(杭州吾角天街店),钱塘区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1341,海底捞火锅(铂澜大象城店),西湖区,餐饮服务;中餐厅;火锅店|体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.7,120,0.98
1342,海底捞火锅(杭州之江银泰百货店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1343,海底捞火锅(杭州古墩路印象城店),西湖区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1344,海底捞火锅(拱墅万达店),拱墅区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1345,海底捞火锅(杭州滨江开元广场店),滨江区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1346,海底捞火锅(杭州余杭万达广场店),余杭区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
1347,海底捞火锅(临安苕溪商业广场店),临安区,餐饮服务;中餐厅;火锅店,4.7,120,0.98
