name,rating,cost,性价比,评分标准化,消费友好度,性价比标准化,综合得分
麦当劳(加州阳光·开元广场店),4.6,26,1.395700147494484,0.8636363636363635,0.9870572207084469,0.49901201416832247,78.51
老姑东北人(立涛园店),4.9,78,1.1214231558418588,1.0000000000000002,0.9516348773841962,0.3201731590783568,78.4
老秦凉都黄牛肉馆(滨江总店),4.9,78,1.1214231558418588,1.0000000000000002,0.9516348773841962,0.3201731590783568,78.4
古茗(杭州上城观音塘店),4.4,15,1.58696454497786,0.7727272727272727,0.9945504087193461,0.6237235536208214,78.35
古茗(杭州太平门直街),4.4,15,1.58696454497786,0.7727272727272727,0.9945504087193461,0.6237235536208214,78.35
麦当劳(杭州大厦501城市广场店),4.6,27,1.3804674911019001,0.8636363636363635,0.9863760217983651,0.4890797525782627,78.2
王阿盖手工小吃(庆春银泰店),4.6,27,1.3804674911019001,0.8636363636363635,0.9863760217983651,0.4890797525782627,78.2
chofo出伏咖啡,4.6,27,1.3804674911019001,0.8636363636363635,0.9863760217983651,0.4890797525782627,78.2
肯德基(杭州和平饭店),4.6,27,1.3804674911019001,0.8636363636363635,0.9863760217983651,0.4890797525782627,78.2
麦当劳(星耀中心店),4.5,20,1.47806432438873,0.8181818181818181,0.9911444141689373,0.5527165374950549,78.18
麦当劳(杭州三里亭),4.5,20,1.47806432438873,0.8181818181818181,0.9911444141689373,0.5527165374950549,78.18
郑阿公顺德鸡煲饭双皮奶(滨江宝龙店),4.7,38,1.282904575924168,0.909090909090909,0.978882833787466,0.42546508353696305,78.15
荆九爷爆炒桥头三嫩(萧山店),4.8,55,1.192442392312652,0.9545454545454544,0.9673024523160763,0.3664803570072525,78.13
荆九爷爆炒桥头三嫩(滨江店),4.8,55,1.192442392312652,0.9545454545454544,0.9673024523160763,0.3664803570072525,78.13
CoCo都可(太平门直街店),4.3,12,1.6764463545805042,0.7272727272727271,0.9965940054495913,0.6820690396358604,78.1
湘香蒸菜馆(湘湖路店),4.9,83,1.1058909050988452,1.0000000000000002,0.9482288828337875,0.31004555076854684,78.01
老秦凉都黄牛肉馆(萧山店),4.9,83,1.1058909050988452,1.0000000000000002,0.9482288828337875,0.31004555076854684,78.01
三冬麻辣串,4.7,39,1.274099644204539,0.909090909090909,0.9782016348773842,0.4197239387971297,77.96
满丼肉剧场,4.7,39,1.274099644204539,0.909090909090909,0.9782016348773842,0.4197239387971297,77.96
素新风·食养自助餐厅(杭州·501广场店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
复兴面王(杭州莲荷里店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
费大厨辣椒炒肉(杭州湖滨in77店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
费大厨辣椒炒肉(滨江龙湖天街店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
费大厨辣椒炒肉(萧山万象汇店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
东北蒸饺菜馆(余杭店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
Section沙县咖啡(太平门直街店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
银记肠粉(新华路店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
麦当劳(星耀城二期城市生活广场店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
麦当劳(西湖银泰百货店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
麦当劳(杭州滨江中南乐游城店),4.6,28,1.3660813401175023,0.8636363636363635,0.9856948228882834,0.4796994441692381,77.9
老秦凉都黄牛肉馆(市心北路店),4.9,85,1.1000489351428269,1.0000000000000002,0.946866485013624,0.3062363678979417,77.86
单羊世家·单县羊肉汤(景昙店),4.7,40,1.2656277879026379,0.909090909090909,0.9775204359673024,0.41419997168494266,77.77
咸鱼仔饮食店,4.7,40,1.2656277879026379,0.909090909090909,0.9775204359673024,0.41419997168494266,77.77
如意Teppanyaki,4.7,40,1.2656277879026379,0.909090909090909,0.9775204359673024,0.41419997168494266,77.77
麦当劳(杭州莲荷里店),4.5,21,1.4558195391690263,0.8181818181818181,0.9904632152588556,0.5382121056925782,77.73
麦当劳(大华·星河商务大厦店),4.6,29,1.3524648774579477,0.8636363636363635,0.9850136239782017,0.47082100133035004,77.61
麦当劳(智谷国际人才大厦店),4.6,29,1.3524648774579477,0.8636363636363635,0.9850136239782017,0.47082100133035004,77.61
重庆小天鹅麻辣烫(凤起路店),4.7,41,1.2574680161695537,0.909090909090909,0.9768392370572208,0.4088794953819634,77.6
复兴面王(河东路店),4.7,41,1.2574680161695537,0.909090909090909,0.9768392370572208,0.4088794953819634,77.6
THREE FINGERS,4.8,60,1.1676349502796701,0.9545454545454544,0.9638964577656676,0.3503049771324868,77.56
后生仔.潮汕小馆(滨江店),4.7,42,1.2496011526718045,0.909090909090909,0.976158038147139,0.4037500062016665,77.43
111white三白咖啡·西餐(银湖美和院店),4.7,42,1.2496011526718045,0.909090909090909,0.976158038147139,0.4037500062016665,77.43
岳阳楼(滨兴小区店),4.8,62,1.1585430638845202,0.9545454545454544,0.9625340599455041,0.34437672721360196,77.35
星巴克(杭州来福士广场店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(杭州UDC店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(滨江城市之星店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(杭州东杭大厦店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
Any.Shell Coffee胡安咖啡(近江南路店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(杭州大厦501城市广场B1店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(新传媒大厦店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(杭州五福天虹购物中心店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
麦当劳(科技广场店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
星巴克(杭州嘉华店),4.6,30,1.3395507106118272,0.8636363636363635,0.9843324250681199,0.4624004816240304,77.34
刘记私房菜(七贤郡店),4.5,22,1.4351804500671046,0.8181818181818181,0.9897820163487738,0.5247546478035756,77.31
No Coffee無咖,4.7,43,1.2420096387012938,0.909090909090909,0.9754768392370572,0.39880005520976886,77.26
瑞幸咖啡(采东路店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
瑞幸咖啡(庆春乐购店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
瑞幸咖啡(中纺中心店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
luckin coffee 瑞幸咖啡(尚城女装中心店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
瑞幸咖啡(四季青丝绸源一楼店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
瑞幸咖啡(中豪江河时代店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
瑞幸咖啡(杭州天虹购物中心店),4.3,13,1.6293696812667902,0.7272727272727271,0.9959128065395095,0.6513732882126717,77.17
马姥姥东北砂锅,4.6,31,1.3272794376178463,0.8636363636363635,0.9836512261580381,0.454399152750191,77.09
素满香·全民食养自助(滨江天街店),4.6,31,1.3272794376178463,0.8636363636363635,0.9836512261580381,0.454399152750191,77.09
新丰小吃(解放路分店),4.4,17,1.5222955275492518,0.7727272727272727,0.9931880108991825,0.5815569359725832,77.05
