排名,name,adname,type,rating,cost,性价比
257,广东脆皮鸡煲(滨盛路店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,84,1.0579
258,吃饭皇帝大·土家民族菜(印力汇德隆杭州奥体印象城店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜)|餐饮服务;冷饮店;冷饮店,4.7,84,1.0579
259,潘家东北烧烤火锅,拱墅区,餐饮服务;中餐厅;火锅店,4.7,84,1.0579
260,寿司郎(萧山万象汇店),萧山区,餐饮服务;外国餐厅;日本料理,4.7,84,1.0579
261,NDORA恩哚啦西餐厅,萧山区,餐饮服务;外国餐厅;外国餐厅,4.7,84,1.0579
262,陈先进鱼馆(凤起店),上城区,餐饮服务;中餐厅;中餐厅,4.7,86,1.0524
263,白乐天毛肚火锅店,萧山区,餐饮服务;中餐厅;火锅店,4.7,86,1.0524
264,点都德(杭州中心店),拱墅区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86,1.0524
265,点都德(滨江银泰店),滨江区,餐饮服务;快餐厅;快餐厅,4.7,86,1.0524
266,点都德(城西银泰城店),拱墅区,餐饮服务;快餐厅;快餐厅,4.7,86,1.0524
267,点都德(奥体印象城店),萧山区,餐饮服务;中餐厅;广东菜(粤菜),4.7,86,1.0524
268,四灶儿·地道杭帮菜(望江店),上城区,餐饮服务;中餐厅;中餐厅,4.7,87,1.0497
269,山城兄弟·重庆江湖菜·黑金店,拱墅区,购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,4.7,87,1.0497
270,虾儿清清小龙虾烧烤(星澜里店),滨江区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,87,1.0497
271,赵姑娘海鲜大排档·梭子蟹·烧烤(杭州总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,87,1.0497
272,长风源·寻衢味(20年老店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.7,88,1.0471
273,新周记·巷子里的江南味(金龙财富店),拱墅区,餐饮服务;中餐厅;中餐厅,4.7,88,1.0471
274,自贡盐帮菜,拱墅区,餐饮服务;餐饮相关场所;餐饮相关,4.7,88,1.0471
275,点都德(杭州湖滨in77店),上城区,餐饮服务;中餐厅;广东菜(粤菜),4.7,88,1.0471
276,大鱼徽州·皖南家宴(东站德信店),上城区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88,1.0471
277,卢家·皖掌柜(杭州首店),拱墅区,餐饮服务;中餐厅;安徽菜(徽菜),4.7,88,1.0471
278,大鱼徽州·皖南家宴(星光总店),滨江区,餐饮服务;中餐厅;中餐厅,4.7,88,1.0471
279,大塘集美蛙鱼头·冷锅鱼(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89,1.0445
280,刘老根·东北烧烤酒场(子夜广场店),萧山区,餐饮服务;中餐厅;中餐厅,4.7,89,1.0445
281,戒指龙虾(余杭店),余杭区,餐饮服务;餐饮相关场所;餐饮相关,4.7,89,1.0445
282,潮来福潮汕牛肉店(元华旺座中心店),上城区,餐饮服务;中餐厅;潮州菜,4.7,90,1.0419
283,张功馆·地道桐庐菜(景芳店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,90,1.0419
284,风炉故事·遂昌山野土菜(凯旋路店),上城区,餐饮服务;中餐厅;中餐厅,4.7,90,1.0419
